english	translation	category	sub_category	source
Members: Rune dart tips <Num0> bar makes <Num1>	Tagoknak: Rune dart tips – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Members: Rune nails <Num0> bar makes <Num1>	Tagoknak: Rune nails – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Rune scimitars <Num0> bars	Rune scimitars – <Num0> rúd	interface	generalUI	skillGuide
Members: Rune spears <Num0> bar, <Num1> magic log	Tagoknak: Rune spears – <Num0> rúd, <Num1> magic log	interface	generalUI	skillGuide
Members: Rune hastae <Num0> bar, <Num1> magic log	Tagoknak: Rune hastae – <Num0> rúd, <Num1> magic log	interface	generalUI	skillGuide
Members: Rune arrowheads <Num0> bar makes <Num1>	Tagoknak: Rune arrowheads – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Members: Rune crossbow limbs <Num0> bar	Tagoknak: Rune crossbow limbs – <Num0> rúd	interface	generalUI	skillGuide
Rune longswords <Num0> bars	Rune longswords – <Num0> rúd	interface	generalUI	skillGuide
Members: Rune javelin heads <Num0> bar makes <Num1>	Tagoknak: Rune javelin heads – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Rune full helms <Num0> bars	Rune full helms – <Num0> rúd	interface	generalUI	skillGuide
Members: Rune throwing knives <Num0> bar makes <Num1>	Tagoknak: Rune throwing knives – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Rune square shields <Num0> bars	Rune square shields – <Num0> rúd	interface	generalUI	skillGuide
Rune warhammers <Num0> bars	Rune warhammers – <Num0> rúd	interface	generalUI	skillGuide
Rune battleaxes <Num0> bars	Rune battleaxes – <Num0> rúd	interface	generalUI	skillGuide
Rune chainbodies <Num0> bars	Rune chainbodies – <Num0> rúd	interface	generalUI	skillGuide
Rune kiteshields <Num0> bars	Rune kiteshields – <Num0> rúd	interface	generalUI	skillGuide
Members: Rune claws <Num0> bars	Tagoknak: Rune claws – <Num0> rúd	interface	generalUI	skillGuide
Rune two-handed swords <Num0> bars	Rune two-handed swords – <Num0> rúd	interface	generalUI	skillGuide
Rune platelegs <Num0> bars	Rune platelegs – <Num0> rúd	interface	generalUI	skillGuide
Rune plateskirts <Num0> bars	Rune plateskirts – <Num0> rúd	interface	generalUI	skillGuide
Rune platebodies <Num0> bars	Rune platebodies – <Num0> rúd	interface	generalUI	skillGuide
Lovakite - Members Only	Lovakite – Csak tagoknak	interface	generalUI	skillGuide
Shayzien gloves (<Num0>) <Num1> bar		interface	generalUI	skillGuide
Shayzien boots (<Num0>) <Num1> bar		interface	generalUI	skillGuide
Shayzien helm (<Num0>) <Num1> bars		interface	generalUI	skillGuide
Shayzien greaves (<Num0>) <Num1> bars		interface	generalUI	skillGuide
Shayzien platebody (<Num0>) <Num1> bars		interface	generalUI	skillGuide
Crystal - Members Only	Crystal – Csak tagoknak	interface	generalUI	skillGuide
Celestial signet (with <Num0> Crafting)	Celestial signet (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Crystal helm (with <Num0> Crafting)	Crystal helm (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Reshape crystal felling axes	Reshape crystal felling axes	interface	generalUI	skillGuide
Crystal legs (with <Num0> Crafting)	Crystal legs (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Crystal body (with <Num0> Crafting)	Crystal body (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Crystal pickaxe (with <Num0> Crafting)	Crystal pickaxe (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Crystal axe (with <Num0> Crafting)	Crystal axe (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Crystal felling axe (with <Num0> Crafting)	Crystal felling axe (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Crystal harpoon (with <Num0> Crafting)	Crystal harpoon (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Crystal bow (with <Num0> Crafting)	Crystal bow (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Crystal halberd (with <Num0> Crafting)	Crystal halberd (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Crystal shield (with <Num0> Crafting)	Crystal shield (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Enhanced crystal key (with <Num0> Crafting)	Enhanced crystal key (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Eternal teleport crystal (with <Num0> Crafting)	Eternal teleport crystal (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Blade of Saeldor (with <Num0> Crafting)	Blade of Saeldor (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Blade of Saeldor (c) (with <Num0> Crafting)	Blade of Saeldor (c) (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Bow of Faerdhinen (with <Num0> Crafting)	Bow of Faerdhinen (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Bow of Faerdhinen (c) (with <Num0> Crafting)	Bow of Faerdhinen (c) (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Members: Convert black felling axes	Tagoknak: black felling axes átalakítása	interface	generalUI	skillGuide
Crush barronite deposits (after Below Ice Mountain)	Crush barronite deposits (after Below Ice Mountain)	interface	generalUI	skillGuide
Members: Secateurs Attachment (with <Num0> Woodcutting)	Tagoknak: Secateurs Attachment (<Num0> Woodcutting szinttel)	interface	generalUI	skillGuide
Members: Dragon square shield	Tagoknak: Dragon square shield	interface	generalUI	skillGuide
Members: Convert dragon felling axes	Tagoknak: dragon felling axes átalakítása	interface	generalUI	skillGuide
Members: Convert <Num0>rd age felling axes	Tagoknak: <Num0>rd age felling axes átalakítása	interface	generalUI	skillGuide
Members: Ancient Wyvern shield	Tagoknak: Ancient Wyvern shield	interface	generalUI	skillGuide
Members: Zombie axes and helmets	Tagoknak: Zombie axes and helmets	interface	generalUI	skillGuide
Defence	Védelem	interface	generalUI	skillGuide
Members: Slayer helm	Tagoknak: Slayer helm	interface	generalUI	skillGuide
Members: Xerician armour (with <Num0> Magic)	Tagoknak: Xerician armour (<Num0> Magic szinttel)	interface	generalUI	skillGuide
Members: Yak-hide	Tagoknak: Yak-hide	interface	generalUI	skillGuide
Members: Initiate armour (after Recruitment Drive, with <Num0> Prayer)	Tagoknak: Initiate armour (after Recruitment Drive, with <Num0> Prayer)	interface	generalUI	skillGuide
Members: Shayzien armour	Tagoknak: Shayzien armour	interface	generalUI	skillGuide
Adamantite	Adamantite	interface	generalUI	skillGuide
Members: Inquisitor's armour (with <Num0> Strength)	Tagoknak: Inquisitor's armour (<Num0> Strength szinttel)	interface	generalUI	skillGuide
Members: Proselyte armour (after Slug Menace, with <Num0> Prayer)	Tagoknak: Proselyte armour (after Slug Menace, with <Num0> Prayer)	interface	generalUI	skillGuide
Members: Masori armour (With <Num0> Ranged)	Tagoknak: Masori armour (With <Num0> Ranged)	interface	generalUI	skillGuide
Members: Samurai armour	Tagoknak: Samurai armour	interface	generalUI	skillGuide
Members: Rock-shell armour (after Fremennik Trials)	Tagoknak: Rock-shell armour (after Fremennik Trials)	interface	generalUI	skillGuide
Members: Dagon'hai robes (with <Num0> Magic)	Tagoknak: Dagon'hai robes (<Num0> Magic szinttel)	interface	generalUI	skillGuide
Members: Sunfire Fanatic armour (with <Num0> Prayer)	Tagoknak: Sunfire Fanatic armour (<Num0> Prayer szinttel)	interface	generalUI	skillGuide
Members: Fremennik helmets (after Fremennik Trials)	Tagoknak: Fremennik helmets (after Fremennik Trials)	interface	generalUI	skillGuide
Members: Zaryte vambraces (with <Num0> Ranged)	Tagoknak: Zaryte vambraces (<Num0> Ranged szinttel)	interface	generalUI	skillGuide
Members: Granite (with <Num0> Strength)	Tagoknak: Granite (<Num0> Strength szinttel)	interface	generalUI	skillGuide
Members: Zombie helmet (with <Num0> Strength)	Tagoknak: Zombie helmet (<Num0> Strength szinttel)	interface	generalUI	skillGuide
Members: Mixed Hide body, cape, and boots (with <Num0> Ranged)	Tagoknak: Mixed Hide body, cape, and boots (<Num0> Ranged szinttel)	interface	generalUI	skillGuide
Members: Bloodrager set (with <Num0> Strength)	Tagoknak: Bloodrager set (<Num0> Strength szinttel)	interface	generalUI	skillGuide
Members: Frostmoon set (with <Num0> Magic)	Tagoknak: Frostmoon set (<Num0> Magic szinttel)	interface	generalUI	skillGuide
Members: Eclipse set (with <Num0> Ranged)	Tagoknak: Eclipse set (<Num0> Ranged szinttel)	interface	generalUI	skillGuide
Members: Helm of neitiznot (after Fremennik Isles)	Tagoknak: Helm of neitiznot (after Fremennik Isles)	interface	generalUI	skillGuide
Members: Obsidian armour	Tagoknak: Obsidian armour	interface	generalUI	skillGuide
Members: Bandos armour	Tagoknak: Bandos armour	interface	generalUI	skillGuide
Members: <Num0>rd age fighter armour	Tagoknak: <Num0>rd age fighter armour	interface	generalUI	skillGuide
Members: Ancestral robes (with <Num0> Magic)	Tagoknak: Ancestral robes (<Num0> Magic szinttel)	interface	generalUI	skillGuide
Members: Avernic defender (with <Num0> Attack)	Tagoknak: Avernic defender (<Num0> Attack szinttel)	interface	generalUI	skillGuide
Members: Barrows armour	Tagoknak: Barrows armour	interface	generalUI	skillGuide
Members: Armadyl armour (with <Num0> Ranged)	Tagoknak: Armadyl armour (<Num0> Ranged szinttel)	interface	generalUI	skillGuide
Members: Boots of brimstone (with <Num0> Ranged and Magic)	Tagoknak: Boots of brimstone (<Num0> Ranged and Magic szinttel)	interface	generalUI	skillGuide
Members: Crystal armour (with <Num0> Agility after Song of the Elves)	Tagoknak: Crystal armour (<Num0> Agility after Song of the Elves szinttel)	interface	generalUI	skillGuide
Members: Neitiznot faceguard (after The Fremennik Exiles)	Tagoknak: Neitiznot faceguard (after The Fremennik Exiles)	interface	generalUI	skillGuide
Members: Justiciar armour	Tagoknak: Justiciar armour	interface	generalUI	skillGuide
Members: Serpentine helm	Tagoknak: Serpentine helm	interface	generalUI	skillGuide
Members: Guardian boots	Tagoknak: Guardian boots	interface	generalUI	skillGuide
Members: Echo boots	Tagoknak: Echo boots	interface	generalUI	skillGuide
Members: Primordial boots (with <Num0> Strength)	Tagoknak: Primordial boots (<Num0> Strength szinttel)	interface	generalUI	skillGuide
Members: Eternal boots (with <Num0> Magic)	Tagoknak: Eternal boots (<Num0> Magic szinttel)	interface	generalUI	skillGuide
Members: Pegasian boots (with <Num0> Ranged)	Tagoknak: Pegasian boots (<Num0> Ranged szinttel)	interface	generalUI	skillGuide
Members: Virtus robes (with <Num0> Magic)	Tagoknak: Virtus robes (<Num0> Magic szinttel)	interface	generalUI	skillGuide
Members: Ferocious Gloves (with <Num0> Attack)	Tagoknak: Ferocious Gloves (<Num0> Attack szinttel)	interface	generalUI	skillGuide
Members: Torva armour	Tagoknak: Torva armour	interface	generalUI	skillGuide
Members: Fortified Masori armour (with <Num0> Ranged)	Tagoknak: Fortified Masori armour (<Num0> Ranged szinttel)	interface	generalUI	skillGuide
Penance	Penance	interface	generalUI	skillGuide
Prayers	Prayers	interface	generalUI	skillGuide
Shields	Shields	interface	generalUI	skillGuide
Penance - Members Only	Penance – Csak tagoknak	interface	generalUI	skillGuide
Fighter torso	Fighter torso	interface	generalUI	skillGuide
Runner boots	Runner boots	interface	generalUI	skillGuide
Penance gloves	Penance gloves	interface	generalUI	skillGuide
Penance skirt (with <Num0> Ranged)	Penance skirt (<Num0> Ranged szinttel)	interface	generalUI	skillGuide
Fighter hat	Fighter hat	interface	generalUI	skillGuide
Ranger hat	Ranger hat	interface	generalUI	skillGuide
Healer hat	Healer hat	interface	generalUI	skillGuide
Runner hat	Runner hat	interface	generalUI	skillGuide
Prayers - Members Only	Prayers – Csak tagoknak	interface	generalUI	skillGuide
Chivalry (with <Num0> Prayer, after King's Ransom)	Chivalry (<Num0> Prayer, after King's Ransom szinttel)	interface	generalUI	skillGuide
Piety (with <Num0> Prayer, after King's Ransom)	Piety (<Num0> Prayer, after King's Ransom szinttel)	interface	generalUI	skillGuide
Rigour (with <Num0> Prayer, from Chambers of Xeric)	Rigour (<Num0> Prayer, from Chambers of Xeric szinttel)	interface	generalUI	skillGuide
Augury (with <Num0> Prayer, from Chambers of Xeric)	Augury (<Num0> Prayer, from Chambers of Xeric szinttel)	interface	generalUI	skillGuide
Shields - Members Only	Shields – Csak tagoknak	interface	generalUI	skillGuide
Members: Oak shield	Tagoknak: Oak shield	interface	generalUI	skillGuide
Members: Willow shield	Tagoknak: Willow shield	interface	generalUI	skillGuide
Members: Maple shield	Tagoknak: Maple shield	interface	generalUI	skillGuide
Members: Yew shield	Tagoknak: Yew shield	interface	generalUI	skillGuide
Members: Magic shield	Tagoknak: Magic shield	interface	generalUI	skillGuide
Members: Redwood shield	Tagoknak: Redwood shield	interface	generalUI	skillGuide
Members: Spirit shield (with <Num0> Prayer)	Tagoknak: Spirit shield (<Num0> Prayer szinttel)	interface	generalUI	skillGuide
Members: Toktz-Ket-Xil	Tagoknak: Toktz-Ket-Xil	interface	generalUI	skillGuide
Members: Odium & Malediction wards	Tagoknak: Odium & Malediction wards	interface	generalUI	skillGuide
Members: Elf crystal (with <Num0> Agility)	Tagoknak: Elf crystal (<Num0> Agility szinttel)	interface	generalUI	skillGuide
Members: Blessed spirit shield (with <Num0> Prayer)	Tagoknak: Blessed spirit shield (<Num0> Prayer szinttel)	interface	generalUI	skillGuide
Members: Dragonfire shield	Tagoknak: Dragonfire shield	interface	generalUI	skillGuide
Members: Dragonfire ward (with <Num0> Ranged)	Tagoknak: Dragonfire ward (<Num0> Ranged szinttel)	interface	generalUI	skillGuide
Members: Ancient Wyvern shield (with <Num0> Magic)	Tagoknak: Ancient Wyvern shield (<Num0> Magic szinttel)	interface	generalUI	skillGuide
Members: Elysian spirit shield (with <Num0> Prayer)	Tagoknak: Elysian spirit shield (<Num0> Prayer szinttel)	interface	generalUI	skillGuide
Members: Arcane & Spectral spirit shields (with <Num0> Prayer and <Num1> Magic)	Tagoknak: Arcane & Spectral spirit shields (<Num0> Prayer és <Num1> Magic szinttel)	interface	generalUI	skillGuide
Members: Twisted buckler (with <Num0> Ranged)	Tagoknak: Twisted buckler (<Num0> Ranged szinttel)	interface	generalUI	skillGuide
Members: Dinh's bulwark (with <Num0> Attack)	Tagoknak: Dinh's bulwark (<Num0> Attack szinttel)	interface	generalUI	skillGuide
Members: Elidinis' Ward (with <Num0> Prayer and <Num1> Magic)	Tagoknak: Elidinis' Ward (<Num0> Prayer és <Num1> Magic szinttel)	interface	generalUI	skillGuide
Herblore	Gyógynövény	interface	generalUI	skillGuide
Potions - Members Only	Potions – Csak tagoknak	interface	generalUI	skillGuide
You must complete the Druidic Ritual quest before you can use Herblore.	You must complete the Druidic Ritual quest before you can use Herblore.	interface	generalUI	skillGuide
Attack potion Guam leaf & eye of newt	Attack potion Guam leaf & eye of newt	interface	generalUI	skillGuide
Anti-poison potion Marrentill & ground unicorn horn	Anti-poison potion Marrentill & ground unicorn horn	interface	generalUI	skillGuide
Relicym's balm	Relicym's balm	interface	generalUI	skillGuide
Strength potion Tarromin & limpwurt root	Strength potion Tarromin & limpwurt root	interface	generalUI	skillGuide
Serum <Num0> Tarromin & ashes		interface	generalUI	skillGuide
Guam tar Guam leaf & swamp tar	Guam tar Guam leaf & swamp tar	interface	generalUI	skillGuide
Compost potion Harralander & volcanic ash	Compost potion Harralander & volcanic ash	interface	generalUI	skillGuide
Stat restore potion Harralander & red spiders' eggs	Stat restore potion Harralander & red spiders' eggs	interface	generalUI	skillGuide
Guthix balance potion Restore potion, garlic & silver dust	Guthix balance potion Restore potion, garlic & silver dust	interface	generalUI	skillGuide
Energy potion Harralander & chocolate dust	Energy potion Harralander & chocolate dust	interface	generalUI	skillGuide
Defence potion Ranarr weed & white berries	Defence potion Ranarr weed & white berries	interface	generalUI	skillGuide
Marrentill tar Marrentill & swamp tar	Marrentill tar Marrentill & swamp tar	interface	generalUI	skillGuide
Agility potion Toadflax & toad legs	Agility potion Toadflax & toad legs	interface	generalUI	skillGuide
Combat potion Harralander & ground desert goat horn	Combat potion Harralander & ground desert goat horn	interface	generalUI	skillGuide
Prayer restore potion Ranarr weed & snape grass	Prayer restore potion Ranarr weed & snape grass	interface	generalUI	skillGuide
Moonlight Potion Vial of water & Moonlight grub paste	Moonlight Potion Vial of water & Moonlight grub paste	interface	generalUI	skillGuide
Tarromin tar Tarromin & swamp tar	Tarromin tar Tarromin & swamp tar	interface	generalUI	skillGuide
Harralander tar Harralander & swamp tar	Harralander tar Harralander & swamp tar	interface	generalUI	skillGuide
